variable,comparability,years_count,years_available,91_1_label,91_2_label,95_label,99_label,103_label,106_label,110_label
h1,Not Comparable,4,"99,103,106,110",,,,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,H1.您現在住的房子是屬於誰的?,"請問您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少？ 【110年平均每個月的金額】 □(1)未滿3,000元 □(2)3,000 元-未滿5,000元 □(3)5,000 元-未滿7,000元 □(4)7,000 元-未滿10,000元 □(5)10,000 元-未滿12,000元 □(6)12,000 元-未滿15,000元 □(7)15,000 元-未滿20,"
h2,Not Comparable,4,"99,103,106,110",,,,H2.請問您個人每個月接受「政府津貼補助、各種保險」收入總共是多少？,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],"請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？ 【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿1,500元 □(3)1,500 元-未滿2,000元 □(4)2,000 元-未滿2,500元 □(5)2,500 元-未滿3,000元 □(6)3,000 元-未滿5,000元 □(7)5,000 元-未滿10,000元 □(8)"
h3,Not Comparable,4,"99,103,106,110",,,,H3.請問您個人每個月的「利息、股票買賣、跟會標會、各種投資」收入總共是多少？【過去,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,"請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保 險、買手機/市內電話(含電信費)、買車等」的費用是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿7,0"
h4,Not Comparable,4,"99,103,106,110",,,,H4.請問您個人每個月的「房屋、土地出租租金」收入總共是多少？,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,H4.您現在住的房子樓地板面積是多少?__坪,"請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多 少？【110年平均每個月的金額】 □(1)未滿500元 □(2)500元-未滿1,000 元 □(3)1,000 元-未滿2,000元 □(4)2,000 元-未滿3,000元 □(5)3,000 元-未滿4,000元 □(6)4,000 元-未滿5,000元 □(7)5,000 元-未滿7,000元 □(8)7,"
h5,Not Comparable,4,"99,103,106,110",,,,H5.除了以上這些收入以外，請問您個人每個月「其他」收入總共是多少？,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?,H5.您現在住的房子如果出租的話，租金會是多少?__元,"請問您全家每個月用在支付「抽煙、喝酒、吃檳榔等」的費用是多少？【110年平均每個月的金 額】 □(1)未滿500元 □(2)500元-未滿1,000 元 □(3)1,000 元-未滿2,000元 □(4)2,000 元-未滿3,000元 □(5)3,000 元-未滿4,000元 □(6)4,000 元-未滿5,000元 □(7)5,000 元-未滿7,000元 □(8)7,000 元-未滿10,0"
i1,Not Comparable,4,"99,103,106,110",,,,I1.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入？,I1.除了您本人以外，家裡有沒有「其他家人」有固定收入?,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,請問您或您的家人最需要政府提供什麼幫忙？(單選) □(1)提供職業訓練、輔導就業或轉業 □(2)提供短期低利貸款來協助自行創業 □(3)提供長期低利貸款來協助購屋或換屋 □(4)提供補助金 □(5)提供短期工作機會 □(6)其他，請說明____________________ □(7)都不需要
i2,Not Comparable,4,"99,103,106,110",,,,I2.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,I2.除了您本人以外，家裡有沒有「其他具有原住民身分的家人」有固定收入?,I2.經濟戶長有沒有創業貸款?,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3
i3,Not Comparable,4,"99,103,106,110",,,,I3.包含您本人，全家每個月接受「政府發給津貼、補助、各種保險」總收入是多少？【過去,I3.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,I3.經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,請問您有沒有參加「儲蓄互助社 (儲互社)」？ □(1)有 □(2)沒有
i4,Not Comparable,4,"99,103,106,110",,,,I4.包含您本人，全家每個月的「利息、股票買賣、跟會標會、各種投資」總收入是多少？【,I4.包含您本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入,I4.除了消費性貸款、創業貸款、私人借貸，經濟戶長有沒有其他貸款?,請問您們家是不是符合地方政府列冊登記有案的中低收入戶？ □(1)是低收入戶 □(2)是中低收入戶 □(3)不是中低收入戶 J 部分：網路設備使用狀況
j2,Not Comparable,4,"99,103,106,110",,,,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修等」的費用是多少？【過去ㄧ年,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的支出?【過去,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,請問您家裡有沒有連上網際網路？ □(1)有 □(2)沒有 □(98)不知道 K 部分：多元性別議題
l2,Not Comparable,4,"99,103,106,110",,,,L2.請問您知不知道「原住民綜合發展基金貸款」？,L2.請問您知不知道原住民族委員會有「專案貸款」的業務?,L2.除了經濟戶長本人以外，這些有固定收入的家人中，具有原住民身分者有幾位?,請問您或您的家人是否使用過政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施？ □(1) 是。請紀錄________(機關)提供之________措施(貸款)停問 □(2) 否。 □(3) 不知道停問
f3_1,Not Comparable,3,"99,103,110",,,,F3-1.請問您的先生/太太所屬的族別？,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入
g6,Not Comparable,3,"103,106,110",,,,,G6.請問您們家目前有沒有房屋貸款?,G6.經濟戶長的配偶屬於以下那種身分?,"包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總收入是 多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元 "
g7,Not Comparable,3,"103,106,110",,,,,G7.請問您個人有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸款呢?,G7.經濟戶長從事的行業?,"包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少？【110年平均每個 月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 □(8)4"
g8,Not Comparable,3,"103,106,110",,,,,G8.請問您有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,G8.經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中?,"包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少？【110 年平均每個月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 "
h1o,Not Comparable,3,"103,106,110",,,,,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,H1.您現在住的房子是屬於誰的?其他，請說明__,h1o
h2o,Not Comparable,3,"103,106,110",,,,,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?請記,"H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?(11)20,000元以上，請紀",h2o
h6,Not Comparable,3,"103,106,110",,,,,H6.除了以上這些收入以外，請問您(經濟戶長)個人每個月「其他雜項」收入總共是多少?,H6.您們家目前有沒有房屋貸款?,"請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 用是多少？【110年平均每個月的金額，部分稅每年繳納一次請以12個月平均】 □(1)未滿1,000元 □(2)1,000 元-未滿1,500元 □(3)1,500 元-未滿2,000元 □(4)2,000 元-未滿2,500元 □(5)2,500 元-未滿3,000元 □(6)3,000 元-未滿4,000元 □"
m2,Not Comparable,3,"99,103,106",,,,M2.請問您所屬的族別？,M2.請問您家裡有沒有連上網際網路?,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?【過,
c1,Not Comparable,2,"95,110",,,C1.首先請問您屬於哪一個族別?,,,,請問您現在住的房子是屬於誰的？ □(1)自有(住宅所有權為家庭內共同生活居住成員擁有) /自己搭建跳答 C3 □(2)不住在一起的配偶、父母或子女所擁有(住宅所有權不屬於家庭內共同生活居住成員擁有) 跳答 C3 □(3)向政府租賃(如:社會住宅) 續問C2 □(4)向私人租賃續問C2 □(5)單位/公司配住續問C2 □(6)借用(目前居住的住宅向他人借用，不需支付費用，如退休人員續住公家宿舍)跳答
c2,Not Comparable,2,"95,110",,,C2.請問您今年幾歲?(若不知道，問幾年幾月生，以95-出生年=幾歲),,,,"若房子為租賃/配住者（C1回答3、4、5者），請問您每個月的房屋租金是多少？回答完跳答D部 分 □(1)未滿 1,000元 □(2)1,000 元-未滿3,000元 □(3)3,000 元-未滿5,000元 □(4)5,000 元-未滿6,000元 □(5)6,000 元-未滿7,000元 □(6)7,000 元-未滿8,000元 □(7)8,000 元-未滿9,000元 □(8)9,000 元-"
c3,Not Comparable,2,"95,110",,,C3.請問您的教育程度?,,,,請問您現在住的房子是什麼時候購買/搭建的？民國___________年
c4,Not Comparable,2,"95,110",,,C4.請問你們家是不是符合地方政府列冊登記有案的低收入戶?,,,,請問您現在住的房子樓地板面積是多少？___________坪
c5,Not Comparable,2,"95,110",,,C5.請問目前與您住在一起共同生活的(包括您自己)有幾個人?____人,,,,請問您現在住的房子如果出租的話，租金會是多少？________________元
c6,Not Comparable,2,"95,110",,,C6.請問您目前的婚姻狀況是?,,,,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分
f1_1,Not Comparable,2,"103,110",,,,,F1-1.其中原住民族有幾位?,,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2
f2_1,Not Comparable,2,"99,103",,,,F2_1.其中原住民有幾位？(F2-1-1~F2-1-5的總合),F2-1.請問您的先生/太太所屬的族別?(若有雙重族別，請詢問登記的族別為何),,
f2o,Not Comparable,2,"103,110",,,,,F2.請問您的配偶屬於以下那種身分?外國人國籍,,f2o
f3,Not Comparable,2,"99,106",,,,F3.請問您的配偶屬於以下那種身分？,,F3.目前與您「不同戶籍」，但「有住在一起」的有幾個人?,
f3_2,Not Comparable,2,"103,110",,,,,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入
f3_3,Not Comparable,2,"103,110",,,,,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入
f3_4,Not Comparable,2,"103,110",,,,,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入
f3o,Not Comparable,2,"103,110",,,,,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),,f3o
f4_1,Not Comparable,2,"99,106",,,,F4-1.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？,,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源一,
g5o,Not Comparable,2,"103,110",,,,,G5.請問您現在住的房子當初購買/搭建共花了多少錢?請記錄___元,,g5o
g6_1,Not Comparable,2,"103,106",,,,,G6-1.請問您家中目前的房屋貸款總共借(貸)了多少錢?,G6-1.經濟戶長的先生/太太所屬的族別?,
g9,Not Comparable,2,"106,110",,,,,,G9.經濟戶長從事的原住民文化創意產業性質為何?,請問家中有沒有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人？ □(1)有 □(2)沒有跳答H部分
h3o,Not Comparable,2,"103,110",,,,,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,,h3o
h4o,Not Comparable,2,"103,110",,,,,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,,h4o
h5o,Not Comparable,2,"103,110",,,,,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?請記錄___元,,h5o
