sample_definition,Variable,Survey Year,Present,Eligible N,Structural Missing N,Response Missing N,Response Missing %,Structural Missing %,Structural Missing,presence_status,Valid N,coverage_basis,structural_missing_status
full_sample,EXP_CLOTHING_EXPENDITURE,2006,1,6013,NA,404,0.06718775985365043,NA,NA,NA,5609,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLOTHING_EXPENDITURE,2010,1,5027,NA,5,9.946290033817386e-4,NA,NA,NA,5022,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLOTHING_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLOTHING_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLOTHING_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_DINING_LODGING_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_DINING_LODGING_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_DINING_LODGING_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_DINING_LODGING_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_DINING_LODGING_EXPENDITURE,2017,1,5302,NA,1837,0.34647302904564314,NA,NA,NA,3465,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_DINING_LODGING_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2002,1,13113,NA,9212,0.7025089605734767,NA,NA,NA,3901,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2006,1,6013,NA,271,0.045069017129552635,NA,NA,NA,5742,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2010,1,5027,NA,3,5.967774020290431e-4,NA,NA,NA,5024,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2014,NA,5214,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2017,NA,5302,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2021,NA,5409,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_EDU_TUITION_EXPENDITURE,2017,1,5302,NA,3068,0.5786495662014334,NA,NA,NA,2234,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_EDU_TUITION_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FOOD_EXPENDITURE,2002,1,13113,NA,229,0.01746358575459468,NA,NA,NA,12884,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FOOD_EXPENDITURE,2006,1,6013,NA,672,0.11175785797438882,NA,NA,NA,5341,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FOOD_EXPENDITURE,2010,1,5027,NA,4,7.957032027053909e-4,NA,NA,NA,5023,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FOOD_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FOOD_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FOOD_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FURNITURE_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_FURNITURE_EXPENDITURE,2006,1,6013,NA,324,0.053883252951937466,NA,NA,NA,5689,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FURNITURE_EXPENDITURE,2010,1,5027,NA,8,0.0015914064054107818,NA,NA,NA,5019,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FURNITURE_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FURNITURE_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_FURNITURE_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2006,1,6013,NA,412,0.06851821054382172,NA,NA,NA,5601,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2010,1,5027,NA,2,3.9785160135269546e-4,NA,NA,NA,5025,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2006,1,6013,NA,210,0.034924330616996506,NA,NA,NA,5803,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2010,1,5027,NA,8,0.0015914064054107818,NA,NA,NA,5019,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2017,1,5302,NA,3811,0.7187853640135797,NA,NA,NA,1491,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_MEDICAL_EXPENDITURE,2002,1,13113,NA,1425,0.10867078471745596,NA,NA,NA,11688,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_MEDICAL_EXPENDITURE,2006,1,6013,NA,731,0.12156993181440214,NA,NA,NA,5282,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_MEDICAL_EXPENDITURE,2010,1,5027,NA,8,0.0015914064054107818,NA,NA,NA,5019,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_MEDICAL_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_MEDICAL_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_MEDICAL_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_OTHER_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_OTHER_EXPENDITURE,2006,1,6013,NA,168,0.027939464493597205,NA,NA,NA,5845,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_OTHER_EXPENDITURE,2010,1,5027,NA,7,0.0013924806047344342,NA,NA,NA,5020,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_OTHER_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_OTHER_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_OTHER_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2006,1,6013,NA,1223,0.2033926492599368,NA,NA,NA,4790,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2010,1,5027,NA,8,0.0015914064054107818,NA,NA,NA,5019,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,2002,1,13113,NA,11988,0.9142072752230611,NA,NA,NA,1125,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,2006,1,6013,NA,2297,0.3820056544154332,NA,NA,NA,3716,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,2010,1,5027,NA,65,0.012930177043962602,NA,NA,NA,4962,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,2017,1,5302,NA,5301,0.9998113919275745,NA,NA,NA,1,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_EXPENDITURE,2002,1,13113,NA,22,0.0016777243956379165,NA,NA,NA,13091,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_EXPENDITURE,2006,1,6013,NA,1,1.6630633627141194e-4,NA,NA,NA,6012,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_EXPENDITURE,2010,1,5027,NA,0,0,NA,NA,NA,5027,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_DERIVED_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,2002,1,13113,NA,16,0.0012201631968275757,NA,NA,NA,13097,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TOTAL_SYN_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TOTAL_SYN_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TOTAL_SYN_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TOTAL_SYN_EXPENDITURE,2014,NA,5214,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TOTAL_SYN_EXPENDITURE,2017,NA,5302,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TOTAL_SYN_EXPENDITURE,2021,NA,5409,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,2002,1,13113,NA,175,0.013345534965301609,NA,NA,NA,12938,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,2006,1,6013,NA,602,0.10011641443538999,NA,NA,NA,5411,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,2010,1,5027,NA,2,3.9785160135269546e-4,NA,NA,NA,5025,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRAVEL_EXPENDITURE,2002,1,13113,NA,10857,0.8279569892473119,NA,NA,NA,2256,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRAVEL_EXPENDITURE,2006,1,6013,NA,85,0.014136038583070014,NA,NA,NA,5928,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRAVEL_EXPENDITURE,2010,1,5027,NA,3,5.967774020290431e-4,NA,NA,NA,5024,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRAVEL_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRAVEL_EXPENDITURE,2017,1,5302,NA,3748,0.7069030554507733,NA,NA,NA,1554,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_TRAVEL_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,HOUSE_BELONG,2002,1,13113,0,10,7.626019980172348e-4,0,FALSE,present,NA,harmonized_label,NA
full_sample,HOUSE_BELONG,2006,1,6013,0,11,0.00182936969898553,0,FALSE,present,NA,harmonized_label,NA
full_sample,HOUSE_BELONG,2010,1,5027,0,39,0.00775810622637756,0,FALSE,present,NA,harmonized_label,NA
full_sample,HOUSE_BELONG,2014,1,5214,0,0,0,0,FALSE,present,NA,harmonized_label,NA
full_sample,HOUSE_BELONG,2017,1,5302,0,0,0,0,FALSE,present,NA,harmonized_label,NA
full_sample,HOUSE_BELONG,2021,NA,5409,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_GOV_INCOME,2002,1,13113,NA,8387,0.6395942957370548,NA,NA,NA,4726,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_GOV_INCOME,2006,1,6013,NA,207,0.03442541160818227,NA,NA,NA,5806,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_GOV_INCOME,2010,1,5027,NA,0,0,NA,NA,NA,5027,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_GOV_INCOME,2014,1,5214,NA,1869,0.358457997698504,NA,NA,NA,3345,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_GOV_INCOME,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_GOV_INCOME,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_INTEREST_INCOME,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_INTEREST_INCOME,2006,1,6013,NA,161,0.02677532013969732,NA,NA,NA,5852,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_INTEREST_INCOME,2010,1,5027,NA,10,0.001989258006763477,NA,NA,NA,5017,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_INTEREST_INCOME,2014,1,5214,NA,1869,0.358457997698504,NA,NA,NA,3345,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_INTEREST_INCOME,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_INTEREST_INCOME,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_OTHER_INCOME,2002,1,13113,NA,9944,0.7583314268283383,NA,NA,NA,3169,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_OTHER_INCOME,2006,1,6013,NA,105,0.017462165308498253,NA,NA,NA,5908,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_OTHER_INCOME,2010,0,5027,5027,NA,NA,1,TRUE,not_present,NA,harmonized_label,NA
full_sample,INC_FAM_OTHER_INCOME,2014,1,5214,NA,1869,0.358457997698504,NA,NA,NA,3345,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_OTHER_INCOME,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_OTHER_INCOME,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_RENT_INCOME,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_RENT_INCOME,2006,1,6013,NA,84,0.013969732246798603,NA,NA,NA,5929,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_RENT_INCOME,2010,1,5027,NA,11,0.002188183807439825,NA,NA,NA,5016,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_RENT_INCOME,2014,1,5214,NA,1869,0.358457997698504,NA,NA,NA,3345,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_RENT_INCOME,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_RENT_INCOME,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2002,1,13113,NA,12088,0.9218332952032334,NA,NA,NA,1025,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2006,1,6013,NA,1174,0.19524363878263762,NA,NA,NA,4839,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2010,1,5027,NA,15,0.002983887010145216,NA,NA,NA,5012,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2014,1,5214,NA,1869,0.358457997698504,NA,NA,NA,3345,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_INCOME,2002,1,13113,NA,168,0.012811713566689545,NA,NA,NA,12945,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_INCOME,2006,1,6013,NA,8,0.0013304506901712955,NA,NA,NA,6005,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_INCOME,2010,1,5027,NA,0,0,NA,NA,NA,5027,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_INCOME,2014,1,5214,NA,1869,0.358457997698504,NA,NA,NA,3345,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_INCOME,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_DERIVED_INCOME,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,INC_FAM_TOTAL_INCOME,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_TOTAL_INCOME,2006,NA,6013,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_TOTAL_INCOME,2010,NA,5027,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_TOTAL_INCOME,2014,NA,5214,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_TOTAL_INCOME,2017,NA,5302,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_TOTAL_INCOME,2021,NA,5409,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,INC_FAM_TOTAL_REPORTED_INCOME,2002,1,13113,NA,0,0,NA,NA,NA,13113,recoded_midpoint,not_evaluated_in_recoded_coverage
