data_year,survey_tag,main_var,supplement_var,rent_before_main,rent_before_supplement,rent_after_imputation,rent_source,rent_harmonized,frequency
2017,106,h2,h2o,"20,000元以上",20500,20500,supplement_open_top,20500,1
2017,106,h2,h2o,"20,000元以上",21000,21000,supplement_open_top,21000,3
2017,106,h2,h2o,"20,000元以上",22000,22000,supplement_open_top,22000,3
2017,106,h2,h2o,"20,000元以上",23000,23000,supplement_open_top,23000,2
2017,106,h2,h2o,"20,000元以上",24000,24000,supplement_open_top,24000,3
2017,106,h2,h2o,"20,000元以上",25000,25000,supplement_open_top,25000,4
2017,106,h2,h2o,"20,000元以上",26000,26000,supplement_open_top,26000,1
2017,106,h2,h2o,"20,000元以上",27000,27000,supplement_open_top,27000,1
2017,106,h2,h2o,"20,000元以上",28000,28000,supplement_open_top,28000,2
2017,106,h2,h2o,"20,000元以上",30000,30000,supplement_open_top,30000,5
2017,106,h2,h2o,"20,000元以上",32000,32000,supplement_open_top,32000,1
2017,106,h2,h2o,"20,000元以上",33000,33000,supplement_open_top,33000,1
2017,106,h2,h2o,"20,000元以上",35000,35000,supplement_open_top,35000,2
2017,106,h2,h2o,"20,000元以上",38000,38000,supplement_open_top,38000,2
2017,106,h2,h2o,"3,000元~未滿5,000元",,"3,000元~未滿5,000元",main,"3,000-4,999元",124
2017,106,h2,h2o,"5,000元~未滿6,000元",,"5,000元~未滿6,000元",main,"5,000-6,999元",138
2017,106,h2,h2o,"6,000元~未滿7,000元",,"6,000元~未滿7,000元",main,"5,000-6,999元",140
2017,106,h2,h2o,"7,000元~未滿8,000元",,"7,000元~未滿8,000元",main,"7,000-9,999元",115
2017,106,h2,h2o,"8,000元~未滿9,000元",,"8,000元~未滿9,000元",main,"7,000-9,999元",110
2017,106,h2,h2o,"9,000元~未滿10,000元",,"9,000元~未滿10,000元",main,"7,000-9,999元",102
2017,106,h2,h2o,不需要支付租金,,不需要支付租金,main,不需要支付租金,27
2017,106,h2,h2o,"未滿1,000元",,"未滿1,000元",main,"未滿1,000元",23
2017,106,h2,h2o,NA,,,missing,,4057
2021,110,c2,c2o,"1,000元-未滿3,000元",NA,"1,000元-未滿3,000元",main,"1,000-2,999元",37
2021,110,c2,c2o,"10,000元-未滿15,000元",NA,"10,000元-未滿15,000元",main,"10,000-19,999元",340
2021,110,c2,c2o,"15,000元-未滿20,000元",NA,"15,000元-未滿20,000元",main,"10,000-19,999元",130
2021,110,c2,c2o,"20,000元以上",20000,20000,supplement_open_top,20000,17
2021,110,c2,c2o,"20,000元以上",21000,21000,supplement_open_top,21000,4
2021,110,c2,c2o,"20,000元以上",22000,22000,supplement_open_top,22000,7
2021,110,c2,c2o,"20,000元以上",23000,23000,supplement_open_top,23000,8
2021,110,c2,c2o,"20,000元以上",24000,24000,supplement_open_top,24000,1
2021,110,c2,c2o,"20,000元以上",25000,25000,supplement_open_top,25000,3
2021,110,c2,c2o,"20,000元以上",26000,26000,supplement_open_top,26000,2
2021,110,c2,c2o,"20,000元以上",26500,26500,supplement_open_top,26500,2
2021,110,c2,c2o,"20,000元以上",28000,28000,supplement_open_top,28000,3
2021,110,c2,c2o,"20,000元以上",30000,30000,supplement_open_top,30000,2
2021,110,c2,c2o,"20,000元以上",33000,33000,supplement_open_top,33000,1
2021,110,c2,c2o,"20,000元以上",35000,35000,supplement_open_top,35000,3
2021,110,c2,c2o,"20,000元以上",36000,36000,supplement_open_top,36000,1
2021,110,c2,c2o,"20,000元以上",40000,40000,supplement_open_top,40000,1
2021,110,c2,c2o,"20,000元以上",50000,50000,supplement_open_top,50000,3
2021,110,c2,c2o,"20,000元以上",64000,64000,supplement_open_top,64000,1
2021,110,c2,c2o,"20,000元以上",65000,65000,supplement_open_top,65000,1
2021,110,c2,c2o,"3,000元-未滿5,000元",NA,"3,000元-未滿5,000元",main,"3,000-4,999元",96
2021,110,c2,c2o,"5,000元-未滿6,000元",NA,"5,000元-未滿6,000元",main,"5,000-6,999元",81
2021,110,c2,c2o,"6,000元-未滿7,000元",NA,"6,000元-未滿7,000元",main,"5,000-6,999元",94
2021,110,c2,c2o,"7,000元-未滿8,000元",NA,"7,000元-未滿8,000元",main,"7,000-9,999元",103
2021,110,c2,c2o,"8,000元-未滿9,000元",NA,"8,000元-未滿9,000元",main,"7,000-9,999元",71
2021,110,c2,c2o,"9,000元-未滿10,000元",NA,"9,000元-未滿10,000元",main,"7,000-9,999元",86
2021,110,c2,c2o,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,24
2021,110,c2,c2o,"未滿1,000元",NA,"未滿1,000元",main,"未滿1,000元",15
2021,110,c2,c2o,NA,40000,40000,supplement,40000,1
2021,110,c2,c2o,NA,NA,NA,missing,NA,4271
