concept_id	category	concept	comparability	var_91_1	var_91_2	var_95	var_99	var_103	var_106	var_110	notes
WORK003	就業	主要工作身分	高	q10	q10	q10					91/95 有同題；後期 meta 未見相同欄位。
WORK004	就業	文創產業元素/性質	高						g8; g9; g9_o	b8; b9; b9o	106/110 同題。
INC001	個人收入	個人工作/營業收入	中			q101	h1	h1; h1o	j1; j1_o	e1; e1o	95+ 同概念；106/110 對象為經濟戶長。
INC002	個人收入	個人政府津貼補助/保險收入	中			q102	h2	h2; h2o	j2; j2_o	e2; e2o	95+ 同概念；110 e2 label 缺失但依序對應政府津貼補助收入。
INC003	個人收入	個人私人移轉/紅白包/救濟慰問收入	中				h3	h3; h3o	j3; j3_o	e3; e3o	103+ 更明確；95 將其他收入拆成利息、租金、其他，未見此獨立項。
INC004	個人收入	個人利息/投資收入	中			q103	h3	h4; h4o	j4; j4_o	e4; e4o	99 h3 與 95 q103 是利息、股票、投資收入；103+ 為存款/跟會/股票/投資利息。
INC005	個人收入	個人房屋土地租金收入	高			q104	h4	h5; h5o	j5; j5_o	e5; e5o	95+ 同概念。
INC006	個人收入	個人其他收入	高			q105	h5	h6; h6o	j6; j6_o	e6	95+ 同概念。
INC007	家庭收入	家庭工作收入	中	q22a	q22a	q111	i2	i3; i3o	l3; l3o	g3; g3o	91 是全家每月平均工作收入；95+ 皆包含本人/經濟戶長本人之全家工作收入。
INC008	家庭收入	家庭政府津貼補助/保險收入	中	q22b	q22b	q112	i3	i4; i4o	l4; l4o	g4; g4o	91 是全家政府補助及津貼收入；95+ 更明確含保險。
INC009	家庭收入	家庭私人移轉/紅白包/救濟慰問收入	中					i5; i5o	l5; l5o	g5; g5o	103+ 獨立為家庭私人移轉類收入。
INC010	家庭收入	家庭利息/投資收入	中			q113	i4	i6; i6o	l6; l6o	g6; g6o	95+ 同概念。
INC011	家庭收入	家庭房屋土地租金收入	高			q114	i5	i7; i7o	l7; l7o	g7; g7o	95+ 同概念。
INC012	家庭收入	家庭其他收入	中	q22c	q22c	q115	i7	i8; i8o	l8; l8o	g8	91 q22c 包含利息、租金、民間補助、退休俸等，範圍較廣；95+ 較接近其他收入。
INC013	家庭收入	其他家人是否有固定收入	高			q11	i1	i1	l1	g1	95 問其他具原住民身分家人；99+ 問其他家人。
INC014	家庭收入	其他具原住民身分且有固定收入人數	高				i1_1	i2_1	l2; l2o	g2; g2_1	99+ 同概念；110 題文承上題誤寫 L1，應為 G1。
INC015	家庭收入	戶籍不在/未居住但定期提供金錢家人	高					i9	l9	g9	103+ 同概念。
INC016	家庭收入	定期提供金錢之家人人數	高					i10	l10	g10	103+ 同概念。
INC017	家庭收入	定期提供金錢總金額	高					i11; i11o	l11	g11	103+ 同概念。
EXP001	家庭支出	家庭每月總支出	高	q23	q23						91 兩波有總支出；後期 meta 多為分項，未見總支出欄。
EXP002	家庭支出	食品/飲食支出	高	q23a	q23a	q121	j1	j1; j1o	m1; m1o	h1; h1o	跨年同概念，品項文字略有調整。
EXP003	家庭支出	房租/水電瓦斯/住宅維修支出	高			q122	j2	j2; j2o	m2; m2o	h2; h2o	95+ 同概念；91 沒有此支出分項。
EXP004	家庭支出	交通與通訊支出	高	q23d	q23d	q123	j3	j3; j3o	m3; m3o	h3; h3o	91 已合併交通與通訊；95+ 類似。
EXP005	家庭支出	醫療保健支出	高	q23c	q23c	q124	j4	j4; j4o	m4; m4o	h4; h4o	跨年同概念。
EXP006	家庭支出	菸酒檳榔支出	高	q23b	q23b	q125	j5	j5; j5o	m5; m5o	h5; h5o	跨年同概念。
EXP007	家庭支出	稅/保險/紅白包/捐款支出	高			q126	j6	j6; j6o	m6; m6o	h6; h6o	95+ 同概念；103+ 加買彩券。
EXP008	家庭支出	家務清潔/請傭人支出	高			q127	j7_1_1; j7_1_2	j7_1_1; j7_1_2; j7_1_2o	m7_1_1; m7_1_2; m7_1_2o	h7_1_1; h7_1_2	95+ 同概念。
EXP009	家庭支出	教育學費/補習/書報文具支出	中		q23e	q128	j7_2_1; j7_2_2	j7_2_1-j7_3_2o	m7_2_1-m7_3_2o	h7_2_1-h7_3_2	91_2 單一教育書報雜誌文具；99 合併教育與書報；103+ 拆成學費補習與書報文具。
EXP010	家庭支出	旅遊娛樂消遣支出	高		q23f	q129	j7_3_1; j7_3_2	j7_4_1; j7_4_2; j7_4_2o	m7_4_1; m7_4_2; m7_4_2o	h7_4_1; h7_4_2	91_2 有此分項；95+ 同概念。
EXP011	家庭支出	利息/貸款/跟會支出	高			q1210	j7_4_1; j7_4_2	j7_5_1; j7_5_2; j7_5_2o	m7_5_1; m7_5_2; m7_5_2o	h7_5_1; h7_5_2	95/99 較廣含各項貸款與跟會；103+ 文字偏各項貸款/跟會利息。
EXP012	家庭支出	外食/住宿服務支出	高					j7_6_1; j7_6_2; j7_6_2o	m7_6_1; m7_6_2; m7_6_2o	h7_6_1; h7_6_2	103+ 新增。
EXP013	家庭支出	衣著鞋襪支出	高			q1211	j7_5_1; j7_5_2	j7_7_1; j7_7_2; j7_7_2o	m7_7_1; m7_7_2; m7_7_2o	h7_7_1; h7_7_2	95+ 同概念。
EXP014	家庭支出	家具/家電/廚房用具支出	高			q1212	j7_6_1; j7_6_2	j7_8_1; j7_8_2; j7_8_2o	m7_8_1; m7_8_2; m7_8_2o	h7_8_1; h7_8_2	95+ 同概念。
EXP015	家庭支出	兒童/老人/身障照顧支出	高			q1213	j7_7_1; j7_7_2	j7_9_1; j7_9_2; j7_9_2o	m7_9_1; m7_9_2; m7_9_2o	h7_9_1; h7_9_2	95+ 同概念，106 文字含保姆費/安養院。
EXP016	家庭支出	其他支出	高			q1214	j7_8_1; j7_8_2	j7_10_1; j7_10_2; j7_10_2o	m7_10_1; m7_10_2; m7_10_2o	h7_10_1; h7_10_2	95+ 同概念。
ASSET001	耐久財	自用汽車數	高	q11	q11	q5_1					91/95 有同概念。
ASSET002	耐久財	自用機車數	高	q12	q12						91 兩波有，95+ meta 未見。
ASSET003	耐久財	冷暖氣機數	高	q13	q13	q5_2					91/95 有同概念。
ASSET004	耐久財	彩色電視機數	高	q14	q14						91 兩波有，95+ meta 未見。
ASSET005	耐久財	家用電腦數	高	q15	q15	q5_3					91/95 有同概念。
INV001	投資與儲蓄	個人/經濟戶長投資項目	中			q13_1-q13_6	k1_1-k1_8	k1_1-k1_5; k1o	k1_1_a-k1_7_g; k1_o	f1_a-f1_d; f1o	95/99 問個人；103 個人；106/110 問經濟戶長。
INV002	投資與儲蓄	每月投資金額	中			q131	k1_1a	k1_1a; k1_1ao	k1_1; k1_1o	f1_1; f1_1o	95/99/103 是個人；106/110 經濟戶長。
INV003	投資與儲蓄	每月可儲蓄金額	中			q14	k2	k2; k2o	k2; k2_o	f2; f2o	95/99/103 是個人；106/110 經濟戶長。
INV004	投資與儲蓄	其他家人投資項目	高						k3_1-k3_7; k3_o	f3_1-f3_6; f3o	106/110 新增。
POLICY001	政府協助	最需要政府提供的幫忙	高	q26a	q26a	q15	l1	l1_1; l1o	n1; n1o	i1; i1o	91 q26 是是否需要政府幫忙；q26a 是最需要事項。95+ 直接問最需要協助。
POLICY002	政府協助	是否需要政府幫忙	低	q26	q26						91 兩波獨有的前置題。
POLICY003	政府/貸款	是否知道原住民/原民會貸款業務	中			q16	l2	l2	n2	i2	91 問假設低利貸款是否申請，不是認知題；95/99/106/110 問綜合發展基金，103 問專案貸款。
POLICY004	政府/貸款	是否申請過/有沒有申請貸款	中	q27	q27	q161	l2_1		n2_1	i2_1	91 是假設政府提供低利貸款是否會申請；95/99/106/110 是原住民貸款申請，103 改問未來需求。
POLICY005	政府/貸款	未來是否有申請原民會貸款需求	高					l2_1	n2_3	i2_3	103/106/110 同概念。
POLICY006	政府/貸款	沒有申請/沒有需求原因	中	q27b	q27b	q162_1-q162_5	l2_2_1-l2_2_8	l2_2_1-l2_2_4; l2_2o	n2_4_1-n2_4_4; n2_4o	i2_4_1-i2_4_4; i2_4o	91 是不會申請低利貸款原因；95/99 是沒有申請基金原因；103+ 是未來沒有需求原因。
POLICY007	政府/貸款	希望申請貸款用途/項目	高					l2_3_1-l2_3_10; l2_3o	n2_5_1-n2_5_8; n2_5o	i2_5_1-i2_5_13; i2_5o	103/106/110 同概念。
POLICY008	政府/貸款	希望從哪裡得知貸款資訊	中			q163_1-q163_12	l2_3_1-l2_3_12	l2_4_1-l2_4_12; l2_4o	n2_6_1-n2_6_11; n2_6o	i2_6_1-i2_6_11; i2_6o	95/99 題文是相關資訊媒體；103+ 是專案/綜合發展基金貸款資訊。
POLICY009	政府/貸款	貸款需求種類	中			q17_1-q17_3	l3_1-l3_6				95/99 問需要哪些貸款類型。
POLICY010	政府/貸款	希望從哪類機構取得貸款資金	高			q171	l4				95/99 同題。
NET001	網路設備	家中可上網設備	高					m1_1-m1_4	o1_1-o1_5; o1o	j1_1-j1_4; j1o	103/106/110 同概念。
NET002	網路設備	家裡是否連上網際網路	高					m2	o2	j2	103/106/110 同概念。
NEW110001	110新增	多元性別家庭/態度	低							k1_1-k1_2; k2; k3_1-k3_2; k3o	110 新增，無跨年對應。
NEW110002	110新增	COVID-19 收入衝擊/紓困措施	低							l1_1-l1_4; l1_1m-l1_2m; l2-l3_2	110 新增，無跨年對應。
